review_text,date,rating
Super Super,November 14 2016,3
Google Talk.. Wether for impaired or not its always good to have .,November 14 2016,5
Can't update This app is not update in my phone,November 14 2016,5
Faltu appp,November 14 2016,1
Hooo Super effective,November 14 2016,5
Error code 941,November 14 2016,1
Keep AndroidWear,November 14 2016,5
ग्राफिक प्रॉब्लम नोट्स ओल्ड Graphic problem not solve like call log and Singh one SIM,November 14 2016,3
Good,November 14 2016,5
Snow My acount is nkalimutan ku ung password,November 14 2016,1
Lov city,November 14 2016,4
cool,November 14 2016,4
Very intrusive Needs an option to remove it.,November 14 2016,1
Good Great,November 14 2016,5
Passion in heart and soul!!! I have all drawing s Show off picture LMs,November 14 2016,1
LG G3 Excellent!,November 13 2016,5
I hate this app,November 13 2016,1
I don't want this Takes up storage I could use for things I want,November 13 2016,1
Error 941 Error 941 while updating app what is this,November 13 2016,1
I am feel free!,November 13 2016,5
Very helpfully app,November 13 2016,5
Its very risky app I had open the app and its not responsing i had think that the phone has destroyed,November 13 2016,1
Love it Nice,November 13 2016,5
Loved it Good application,November 13 2016,5
Good Good app it helps,November 13 2016,5
It is the worst app that i ever had.,November 13 2016,1
Love it Love it,November 13 2016,5
Talk back Never talk back its disrespectful,November 13 2016,5
Talk back More crap,November 13 2016,1
YEAH YA YAPH The best download Yeht.,November 13 2016,3
Google TalkBack Good feature,November 13 2016,5
Good Good,November 13 2016,5
Super,November 13 2016,3
Dk Good,November 13 2016,5
I like this,November 13 2016,4
It won't turn off Yes i've tried turning it off in the access ability but it just won't work.,November 13 2016,1
good app usefull,November 13 2016,5
Goooooooood appppppppp Because it's intelligent,November 13 2016,5
Best ever than Yes I got it,November 13 2016,1
I want it off my phone! Useless,November 13 2016,1
Good!,November 13 2016,5
Improve needed,November 13 2016,4
Wonderful app ever seen on the Internet.!,November 13 2016,5
Pasakaygang Private,November 13 2016,5
LG G3 Excellent.,November 13 2016,5
George Good,November 13 2016,5
Worst app If you install it you will lose the control of your phone👎👎👎👎,November 13 2016,1
It is a great app I loved it because it has just fixed my phone. I was unable to install app from my mobile phone. When i install it it has just fixed it.,November 13 2016,5
Valkyrie I lke it,November 12 2016,5
Good Thanks,November 12 2016,4
Music Hip-hop,November 12 2016,5
It's bullshit,November 12 2016,1
Annoying ! The Hell With This Damned App !,November 12 2016,1
Unwanted I suppose it's a good thing to have  but I don't need it and shouldn't have it forced on me,November 12 2016,1
V V Good it V V Like it.,November 12 2016,5
Waw supper Supper application for the use of mobile Internet explorer etc supper,November 12 2016,5
Mast hai,November 12 2016,5
I don't like it at all. If you forget how to disable it that's it your phone is done for.,November 12 2016,1
like love,November 12 2016,5
Alumina What's mean google talkback? I don't know. Please you explaint.,November 12 2016,1
google talkback loved it,November 12 2016,5
